
**** SCALARS ****
run,repetition,Module,busy:timeavg,created:last,delaysVisited:max,delaysVisited:mean,dropped:count,generation:max,generation:mean,lifeTime:max,lifeTime:mean,queueingTime:max,queueingTime:mean,queueLength:max,queueLength:timeavg,queuesVisited:max,queuesVisited:mean,totalDelayTime:max,totalDelayTime:mean,totalQueueingTime:max,totalQueueingTime:mean,totalServiceTime:max,totalServiceTime:mean
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,52.51357686834,8.2189042017215,25,1.5503089500604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server,0.65206282276391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.sink,NaN,NaN,0,0,NaN,0,0,3814.3322020409,365.91285044086,NaN,NaN,NaN,NaN,10,3.2053,0,0,3794.6592892977,358.90656507023,53.216187419295,7.0062853706337
General-0-20201221-09:26:51-26448,0,SixFlags1.server4,0.99935065412311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server5,0.88817549601426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server6,0.89885560279577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server7,0.90298949086519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server8,0.9304568589597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,13.163649179585,2.0402706199968,8,0.24361844479573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue2,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,16.142934433853,1.9569136811968,9,0.23881045997212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue4,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,15.49964651811,1.9871093464658,9,0.22844288454132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server1,0.364415602701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server2,0.36129412894735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.server3,0.35460336074777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue5,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,1999.1576731774,758.28957597353,406,151.62777555089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue6,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,360.81613152102,147.05721713307,75,25.519072892048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue7,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,479.33879352221,140.96800355563,91,25.235638814469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue8,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,641.96395113545,299.53787074027,121,52.726112129126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.passiveQueue9,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,889.76559677097,379.06352673538,167,68.030571714181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
General-0-20201221-09:26:51-26448,0,SixFlags1.source,NaN,20000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

**** VECTORS ****
queueLength:vector SixFlags1.passiveQueue (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue1 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue2 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue4 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue5 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue6 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue7 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue8 (#0 - General-0-20201221-09:26:51-26448),,queueLength:vector SixFlags1.passiveQueue9 (#0 - General-0-20201221-09:26:51-26448),,lifeTime:vector SixFlags1.sink (#0 - General-0-20201221-09:26:51-26448),
90.234224649716,5,69.802702297078,1,67.034982379126,3,100.819917872687,3,83.154716512003,9,126.888775682496,1,124.298952507358,3,97.773259658444,3,185.34895633554,7,45.77840309625,14.17747615728899996
90.898131874804,4,71.796803532107,0,67.297481254644,4,101.266455026307,2,85.673766551516,8,128.385417594588,0,125.169718605102,2,101.266455026307,4,196.220945594246,8,45.994185333859,8.34289037525200069
95.855004136312,3,79.711603248446,1,69.507967868183,3,101.457174841894,1,91.83816886667,7,132.220131649723,1,131.229305673216,3,102.320352412467,5,196.262525781967,7,46.543101051183,4.513925402576999687
96.65890398441,4,81.82003990653,0,70.300571563882,2,101.556609569396,0,95.277886258975,6,133.423449765151,2,135.299676386647,4,102.914264090521,6,196.27804756601,6,46.755653460131,7.212290390092999075
97.176172207066,3,104.099860656314,1,72.847867548612,1,102.693832612321,1,96.031674181088,7,136.259500019181,1,138.025603069661,5,105.678417175283,7,197.727793380722,7,48.263483026248,4.813478971676000005
99.677294227951,4,104.219364979647,0,73.138171122337,0,102.914264090521,0,96.847875749292,6,137.960686117248,0,138.972740883518,4,108.883746252638,6,198.526614405741,6,49.004531433662,14.74620016292999828
101.064408107952,3,130.824773961358,1,75.224862798424,1,104.580151067573,1,101.982523585502,7,138.206594701615,1,139.794555186265,5,112.053406885096,5,211.697271385456,5,51.233850517867,8.309710567540999855
102.123410914353,4,133.162554776777,0,75.71722094735,2,105.278333169232,0,104.597557014106,8,138.851819735314,2,142.77525634642,6,119.707648979813,4,214.844773292617,6,51.357407334029,20.59598665926299781
104.722246695063,5,173.177181544756,1,77.292523816443,1,107.902322319785,1,105.278333169232,9,147.579378970589,1,147.618339071931,5,122.503724822862,5,218.55907614144,7,52.171844522275,8.3600418341059992
104.744918502936,4,173.345311668943,2,78.256593931644,0,108.327544956529,0,109.137486124913,10,148.908461715701,0,149.835011051937,4,122.771376204132,4,220.042621056015,8,53.114520357824,4.35322578941699943
105.374598796738,5,173.722769597311,1,101.064408107952,1,116.938997307849,1,114.892580774211,9,191.015266129338,1,150.43916803325,3,127.727773732929,3,225.829891238279,7,56.722174243759,5.977953970967998715
106.148769026574,6,173.733027219685,0,101.982523585502,0,117.598005971122,2,125.579689226298,8,191.200065784511,0,151.81385320671,4,128.365641601915,2,228.426159862682,6,57.121573059712,18.60501798953299603
106.418175682901,5,186.515279846307,1,120.664304097394,1,117.830738180963,1,128.545097212924,7,191.443325632546,1,152.029440759204,3,130.851688033628,1,233.08709356551,5,58.718336342389,15.28786710741599815
107.588441815988,4,186.779031504568,0,123.689089162495,0,118.872302159385,0,128.946555162565,8,200.815461115653,2,153.753426679874,4,131.304225384369,0,233.61432042268,6,59.305595896278,10.65075887264899986
110.515510517439,5,188.765443767202,1,128.313554310482,1,137.483721126782,1,132.339921084167,7,203.041246049524,1,154.3734192174,3,163.268204793813,1,236.940248869513,5,59.912100706628,22.83325313472899856
111.191104249028,6,191.484954910425,2,128.837428158109,2,138.025603069661,0,133.162554776777,8,206.509402644389,2,154.92044525078,4,163.681005587814,0,237.305311588724,4,60.34631096434,3.310597567365999962
111.364595819048,5,192.623199790188,1,129.416441337306,3,168.41135702002,1,133.742800715053,7,207.859700496599,3,156.130025625111,3,167.566420923383,1,237.452211325136,3,61.421271015058,25.00273238944100017
112.059665080758,6,193.113900825284,0,131.229305673216,2,169.193713214183,0,134.080471499438,6,208.423198346612,2,160.106136631655,2,168.57085130456,0,239.607720461217,2,62.92049563925,26.18471757949199475
117.037901786659,7,217.50649545398,1,131.248180621746,1,194.188582584417,1,140.928904459978,7,211.25384610509,1,160.809862408798,1,181.611080553074,1,242.543943537351,3,63.257766054563,2.552226050339999822
119.376617893077,6,217.567296021948,2,131.920190669743,0,194.484680384256,2,141.725165852997,6,211.877811566393,0,161.331321217976,2,184.189511125775,0,250.549680368187,4,63.91033431592,13.88641136240200063
119.401153984072,5,220.042621056015,1,133.033320480863,1,194.548208016067,3,145.319216075179,7,215.071032775603,1,161.336843058358,1,197.59110418107,1,261.457719218356,3,66.954498884606,16.3963330299259979
127.396791425997,4,220.655236147138,0,133.423449765151,0,196.00736965568,2,148.43526455891,6,218.874704306508,2,161.434289523117,0,198.847209868059,0,261.643949679872,2,67.289597543305,10.20178777728899883
128.313554310482,3,233.569764396198,1,144.370553393066,1,196.471162674132,1,148.831095905494,7,220.655236147138,3,167.699039975305,1,216.516235801897,1,264.407946347394,1,70.728314339277,26.57117122941199472
128.630937072825,4,233.61432042268,0,144.494910769666,2,197.727793380722,0,152.385672191877,8,220.813890066932,4,169.193713214183,2,220.516961787633,0,267.236060952505,0,71.912020349092,11.46655721091999775
129.416441337306,3,249.754165989488,1,146.742714839284,3,197.914574485941,1,154.287443208979,7,221.302134637416,3,170.812649908354,1,229.002511036254,1,277.762224139332,1,71.926792258073,4.307179751316999357
131.189141987757,4,250.413026264805,2,147.003899993213,4,200.383666058564,0,157.270192793364,6,225.451098284033,4,171.762330130462,2,229.893779535893,2,279.167853291803,2,71.927931936458,21.11146287628000087
132.267138529604,3,250.549680368187,1,148.831095905494,3,213.030394772241,1,158.075905687492,5,227.55687794071,3,172.821432925731,3,231.339405973533,3,281.533005927022,1,72.064621487715,26.91010022720299575
138.588683228279,4,251.2553329422,0,150.042988011577,4,213.867739811073,0,159.626292891924,6,229.207411410978,2,176.653053793849,4,231.881684516166,2,283.697675969589,2,72.898994693879,38.78312478241599577
142.261047221404,3,259.655901147579,1,151.81385320671,3,214.419694859349,1,160.106136631655,7,237.163422727693,1,180.512890957746,3,233.773427491819,3,284.168849875506,1,73.090557028382,18.5440411665040016
143.751476949896,2,259.805898902367,0,152.385672191877,2,215.68978278915,0,161.658674939269,8,240.767554642905,2,180.697332037836,4,235.942154534189,4,284.194681306027,0,73.763334071954,10.096716225083
144.494910769666,1,275.875476535672,1,153.753426679874,1,228.608627079143,1,165.454069288949,9,240.793311049188,3,185.392174173516,5,236.89930645566,3,287.903281982552,1,74.52507478376,30.22119310361999557
